name,family,lookback,side_n,rebalance,split,cagr,total_return,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,annual_turnover,stress_cagr,stress_total_return,stress_sharpe,stress_max_drawdown,stress_avg_month,stress_worst_month,stress_positive_month_pct,stress_month_ge_10_pct,stress_annual_turnover
past_trough_reversal_lb60_n2_r1,past_trough_reversal,60,2,1,test,-0.18602093081585336,-0.27716879669903693,-0.7794721696384485,-0.3883283227381661,-0.014764380080880803,-0.17062748106548353,0.47368421052631576,0.05263157894736842,113.50651041666666,-0.22221160277502905,-0.3271964123200142,-0.9763442691386132,-0.4012083674068698,-0.01851346539954883,-0.17212979532761197,0.47368421052631576,0.0,113.50651041666666
past_trough_reversal_lb60_n2_r3,past_trough_reversal,60,2,3,train,-0.35840068427289906,-0.4811386283090344,-1.1150222066148028,-0.6138006936909832,-0.030840237909566033,-0.22790705117456556,0.5,0.05555555555555555,50.05277777777778,-0.3711582087971248,-0.49631889693650166,-1.1727966886518533,-0.6234538954319766,-0.0324594402173888,-0.2280611943124159,0.5,0.05555555555555555,50.05277777777778
past_trough_reversal_lb60_n2_r3,past_trough_reversal,60,2,3,test,-0.15284551139052582,-0.23016633682361687,-0.6132167579594515,-0.40780453961876795,-0.011465096722400264,-0.17199780209404258,0.42105263157894735,0.05263157894736842,64.6796875,-0.17449933805891915,-0.26096805812370016,-0.7268686797577926,-0.41501627196760815,-0.013618629543697794,-0.17317160753339988,0.42105263157894735,0.05263157894736842,64.6796875
past_trough_reversal_lb60_n2_r7,past_trough_reversal,60,2,7,train,-0.2049962618108626,-0.28763618003297287,-0.5100365218628854,-0.5319829560328577,-0.014008679348367815,-0.22853540827535546,0.5555555555555556,0.05555555555555555,31.790277777777778,-0.21503449991084045,-0.3008941495972631,-0.5477319892444598,-0.5331058698286866,-0.015052293352514456,-0.2286903040793884,0.5555555555555556,0.05555555555555555,31.790277777777778
past_trough_reversal_lb60_n2_r7,past_trough_reversal,60,2,7,test,-0.09663968958019475,-0.1480919631767732,-0.3431687654271057,-0.28821409597053327,-0.006938282414904953,-0.11342323202452242,0.42105263157894735,0.0,41.53450520833333,-0.11154325601839754,-0.17015052959108756,-0.41753557139702935,-0.2943168208089434,-0.008312427152975147,-0.11449713949670659,0.42105263157894735,0.0,41.53450520833333
past_trough_reversal_lb60_n3_r1,past_trough_reversal,60,3,1,train,-0.3491012861875007,-0.4699816837823235,-1.4346642289843963,-0.6176287409883336,-0.02958925121911812,-0.27031896161710844,0.5555555555555556,0.05555555555555555,65.1587962962963,-0.36587661455503084,-0.49005198969691566,-1.5298033755188738,-0.6303900463593606,-0.03166839891548612,-0.2715949672455088,0.5555555555555556,0.05555555555555555,65.1587962962963
past_trough_reversal_lb60_n3_r1,past_trough_reversal,60,3,1,test,-0.1779870093815693,-0.2658860023076992,-0.9587012391517392,-0.3025002479215565,-0.014979557940051645,-0.13020228011093105,0.42105263157894735,0.0,85.39409722222221,-0.20562322218601192,-0.3044287099251397,-1.141662572339289,-0.3153365105563204,-0.017780614083545254,-0.1312489118211142,0.3684210526315789,0.0,85.39409722222221
past_trough_reversal_lb60_n3_r3,past_trough_reversal,60,3,3,train,-0.23569477650102244,-0.3279260288729229,-0.8660328619308998,-0.4761581894960647,-0.017741112995938564,-0.2592591457745056,0.6111111111111112,0.0,41.48518518518518,-0.24829362546098444,-0.34424015256549445,-0.9276512433476225,-0.4873707527013911,-0.019102609589355106,-0.25977350662501253,0.6111111111111112,0.0,41.48518518518518
past_trough_reversal_lb60_n3_r3,past_trough_reversal,60,3,3,test,-0.11679727604002121,-0.1778763536773731,-0.5647877836276063,-0.3221894360997861,-0.00916987289369789,-0.12379735520152513,0.42105263157894735,0.0,50.729166666666664,-0.13454505181578336,-0.203777597084695,-0.6727072490093504,-0.32877681538049863,-0.010849782266670415,-0.12473153034313877,0.3684210526315789,0.0,50.729166666666664
past_trough_reversal_lb60_n3_r7,past_trough_reversal,60,3,7,train,-0.11665416428364828,-0.16755106755938232,-0.312833285641343,-0.43160824086351657,-0.0069258928829961834,-0.15302066512589108,0.6111111111111112,0.05555555555555555,25.25185185185185,-0.1255269075892732,-0.17988329879385379,-0.3495117713845462,-0.432664642737454,-0.007751110311747923,-0.15313332547706748,0.6111111111111112,0.05555555555555555,25.25185185185185
past_trough_reversal_lb60_n3_r7,past_trough_reversal,60,3,7,test,-0.056936777714725495,-0.08830241848705778,-0.23506431524435445,-0.22981540639340392,-0.003782733749321377,-0.09542371145714212,0.5789473684210527,0.0,31.91710069444444,-0.06891924800508364,-0.1065032334612458,-0.30588835975279965,-0.23524568090855325,-0.004840725396887028,-0.09615623629951364,0.5789473684210527,0.0,31.91710069444444
past_trough_reversal_lb90_n1_r1,past_trough_reversal,90,1,1,train,-0.5077190535956286,-0.6492839797165051,-1.5132604187506853,-0.7170510283820115,-0.05166828286224064,-0.27710541455854054,0.2222222222222222,0.05555555555555555,75.07916666666667,-0.5223524701320781,-0.6645869697370779,-1.5855195011115264,-0.7289668567114007,-0.05400009244565069,-0.27828224006625824,0.2222222222222222,0.05555555555555555,75.07916666666667
