symbol,entry_time,exit_time,entry_price,exit_price,gross_return,funding_cost,net_return,reason
XLMUSDT,2025-12-14 16:00:00+00:00,2025-12-15 12:00:00+00:00,0.23143,0.2244871,0.030000000000000027,9.488e-05,0.028305120000000027,target
BCHUSDT,2025-12-15 16:00:00+00:00,2025-12-15 20:00:00+00:00,541.62,525.3714,0.030000000000000027,0.0,0.028400000000000026,target
DOTUSDT,2025-12-23 16:00:00+00:00,2025-12-23 20:00:00+00:00,1.746,1.777428,-0.018000000000000016,0.0,-0.019600000000000017,stop
ETCUSDT,2025-12-24 08:00:00+00:00,2025-12-24 20:00:00+00:00,11.836,12.049048,-0.018000000000000016,-0.0001,-0.019500000000000017,stop
FILUSDT,2025-12-25 12:00:00+00:00,2025-12-25 16:00:00+00:00,1.26,1.28268,-0.018000000000000016,-8.945e-05,-0.019510550000000015,stop
DOTUSDT,2025-12-26 00:00:00+00:00,2025-12-26 04:00:00+00:00,1.682,1.712276,-0.018000000000000016,0.0,-0.019600000000000017,stop
ATOMUSDT,2025-12-29 20:00:00+00:00,2025-12-30 20:00:00+00:00,1.971,1.964,0.003551496702181689,-0.00014694000000000003,0.002098436702181689,time
XLMUSDT,2025-12-31 00:00:00+00:00,2025-12-31 16:00:00+00:00,0.21056,0.20424319999999999,0.030000000000000027,0.00034201,0.028057990000000026,target
ATOMUSDT,2025-12-31 20:00:00+00:00,2026-01-01 12:00:00+00:00,1.917,1.951506,-0.018000000000000016,-7.606e-05,-0.019523940000000017,stop
ATOMUSDT,2026-01-25 08:00:00+00:00,2026-01-25 16:00:00+00:00,2.289,2.22033,0.030000000000000027,0.00010437,0.028295630000000026,target
BCHUSDT,2026-01-25 20:00:00+00:00,2026-01-26 00:00:00+00:00,568.74,578.97732,-0.018000000000000016,5.998e-05,-0.019659980000000018,stop
TRXUSDT,2026-01-27 16:00:00+00:00,2026-01-28 16:00:00+00:00,0.29352,0.29362,-0.0003406922867266182,0.0009686,-0.002909292286726618,time
ETCUSDT,2026-01-29 12:00:00+00:00,2026-01-29 16:00:00+00:00,11.186,10.85042,0.030000000000000027,0.00018874,0.028211260000000026,target
TRXUSDT,2026-02-05 12:00:00+00:00,2026-02-05 20:00:00+00:00,0.2788,0.270436,0.029999999999999916,0.0009109,0.027489099999999916,target
TRXUSDT,2026-02-11 08:00:00+00:00,2026-02-12 08:00:00+00:00,0.27473,0.27816,-0.012484985258253811,3.7229999999999994e-05,-0.014122215258253811,time
TRXUSDT,2026-02-18 20:00:00+00:00,2026-02-19 16:00:00+00:00,0.27841,0.28342138,-0.018000000000000016,0.00015416000000000003,-0.019754160000000017,stop
XLMUSDT,2026-02-22 04:00:00+00:00,2026-02-23 00:00:00+00:00,0.15574,0.15106779999999997,0.030000000000000138,0.00022673000000000002,0.028173270000000136,target
ATOMUSDT,2026-02-23 04:00:00+00:00,2026-02-23 08:00:00+00:00,2.198,2.237564,-0.018000000000000016,-1.079e-05,-0.019589210000000017,stop
TRXUSDT,2026-02-28 08:00:00+00:00,2026-03-01 08:00:00+00:00,0.28042,0.28092,-0.0017830397261251463,0.00029617,-0.0036792097261251462,time
FILUSDT,2026-03-07 16:00:00+00:00,2026-03-08 00:00:00+00:00,0.957,0.92829,0.030000000000000027,8.644e-05,0.028313560000000026,target
UNIUSDT,2026-03-08 04:00:00+00:00,2026-03-08 08:00:00+00:00,3.719,3.785942,-0.018000000000000016,8.396e-05,-0.019683960000000018,stop
ATOMUSDT,2026-03-08 16:00:00+00:00,2026-03-08 20:00:00+00:00,1.724,1.755032,-0.018000000000000016,0.0,-0.019600000000000017,stop
AAVEUSDT,2026-03-09 00:00:00+00:00,2026-03-09 04:00:00+00:00,105.48,107.37864,-0.018000000000000016,0.0,-0.019600000000000017,stop
DOTUSDT,2026-03-21 12:00:00+00:00,2026-03-22 00:00:00+00:00,1.49,1.4453,0.030000000000000027,0.00012059,0.028279410000000026,target
XLMUSDT,2026-03-22 12:00:00+00:00,2026-03-23 08:00:00+00:00,0.15864,0.16149552,-0.018000000000000016,0.00024458,-0.019844580000000018,stop
BCHUSDT,2026-03-26 12:00:00+00:00,2026-03-27 04:00:00+00:00,461.66,469.96988000000005,-0.018000000000000016,-9.800999999999999e-05,-0.019501990000000018,stop
BCHUSDT,2026-03-27 08:00:00+00:00,2026-03-27 12:00:00+00:00,458.24,466.48832000000004,-0.018000000000000016,0.0,-0.019600000000000017,stop
NEARUSDT,2026-03-27 16:00:00+00:00,2026-03-28 16:00:00+00:00,1.181,1.188,-0.005927180355630668,-6.120000000000001e-05,-0.007465980355630668,time
DOTUSDT,2026-03-29 00:00:00+00:00,2026-03-29 20:00:00+00:00,1.258,1.22026,0.030000000000000138,0.0006140399999999999,0.027785960000000137,target
BCHUSDT,2026-04-05 08:00:00+00:00,2026-04-05 12:00:00+00:00,435.43,422.3671,0.030000000000000027,0.0,0.028400000000000026,target
BCHUSDT,2026-04-05 16:00:00+00:00,2026-04-05 20:00:00+00:00,421.06,428.63908000000004,-0.018000000000000016,0.0,-0.019600000000000017,stop
XLMUSDT,2026-04-07 00:00:00+00:00,2026-04-07 20:00:00+00:00,0.15548,0.15827864,-0.018000000000000016,0.00017786,-0.019777860000000015,stop
UNIUSDT,2026-05-26 20:00:00+00:00,2026-05-27 12:00:00+00:00,3.258,3.316644,-0.018000000000000016,4.706e-05,-0.019647060000000018,stop
ETCUSDT,2026-05-28 00:00:00+00:00,2026-05-28 04:00:00+00:00,8.446,8.19262,0.030000000000000027,0.0,0.028400000000000026,target
ATOMUSDT,2026-05-31 16:00:00+00:00,2026-06-01 16:00:00+00:00,1.945,1.918,0.013881748071979505,0.00032378999999999996,0.011957958071979505,time
ETCUSDT,2026-06-02 16:00:00+00:00,2026-06-02 20:00:00+00:00,7.714,7.4825800000000005,0.030000000000000027,0.0,0.028400000000000026,target
TRXUSDT,2026-06-11 16:00:00+00:00,2026-06-12 16:00:00+00:00,0.31979,0.31469,0.01594796585259073,0.0030357400000000003,0.011312225852590728,time
ETCUSDT,2026-06-14 16:00:00+00:00,2026-06-14 20:00:00+00:00,7.001,7.1270180000000005,-0.018000000000000016,0.0,-0.019600000000000017,stop
ATOMUSDT,2026-06-22 00:00:00+00:00,2026-06-22 04:00:00+00:00,1.756,1.787608,-0.018000000000000016,0.0,-0.019600000000000017,stop
XLMUSDT,2026-06-22 16:00:00+00:00,2026-06-22 20:00:00+00:00,0.20876,0.2024972,0.030000000000000027,0.0,0.028400000000000026,target
DOTUSDT,2026-06-23 00:00:00+00:00,2026-06-23 04:00:00+00:00,0.936,0.9079200000000001,0.030000000000000027,0.0,0.028400000000000026,target
BCHUSDT,2026-06-23 08:00:00+00:00,2026-06-23 20:00:00+00:00,190.84,194.27512000000002,-0.018000000000000016,-5.625e-05,-0.019543750000000016,stop
ATOMUSDT,2026-06-24 04:00:00+00:00,2026-06-24 08:00:00+00:00,1.702,1.6509399999999999,0.030000000000000027,0.00022204,0.028177960000000026,target
ATOMUSDT,2026-06-24 12:00:00+00:00,2026-06-24 16:00:00+00:00,1.651,1.60147,0.030000000000000027,6.502e-05,0.028334980000000027,target
XLMUSDT,2026-06-24 20:00:00+00:00,2026-06-25 00:00:00+00:00,0.18393,0.18724074000000002,-0.018000000000000016,4.33e-06,-0.019604330000000017,stop
ATOMUSDT,2026-06-29 16:00:00+00:00,2026-06-30 16:00:00+00:00,1.539,1.505,0.022092267706302793,0.00033817,0.020154097706302793,time
TRXUSDT,2026-06-30 20:00:00+00:00,2026-07-01 20:00:00+00:00,0.31482,0.31584,-0.0032399466361732188,0.0008837299999999999,-0.005723676636173219,time
XLMUSDT,2026-07-07 08:00:00+00:00,2026-07-07 12:00:00+00:00,0.19511,0.1892567,0.030000000000000027,0.0,0.028400000000000026,target
XLMUSDT,2026-07-08 00:00:00+00:00,2026-07-08 08:00:00+00:00,0.1886,0.182942,0.030000000000000027,-4.595e-05,0.028445950000000025,target
XLMUSDT,2026-07-08 12:00:00+00:00,2026-07-09 12:00:00+00:00,0.18349,0.18128,0.012044253092811541,-0.00024701000000000004,0.010691263092811541,time
ATOMUSDT,2026-07-13 04:00:00+00:00,2026-07-14 04:00:00+00:00,1.538,1.526,0.007802340702210642,0.0007295100000000001,0.005472830702210642,time
AAVEUSDT,2026-07-17 00:00:00+00:00,2026-07-18 00:00:00+00:00,91.14,89.48,0.01821373710774632,-0.00012968,0.01674341710774632,time
DOTUSDT,2026-07-24 16:00:00+00:00,2026-07-25 00:00:00+00:00,0.7982,0.8125676000000001,-0.018000000000000016,-6.298e-05,-0.019537020000000016,stop
AAVEUSDT,2026-07-25 04:00:00+00:00,2026-07-26 04:00:00+00:00,91.51,93.15718000000001,-0.018000000000000016,5.216e-05,-0.019652160000000016,stop
XLMUSDT,2026-07-28 00:00:00+00:00,2026-07-29 00:00:00+00:00,0.17189,0.17498402,-0.018000000000000016,0.00039326,-0.019993260000000016,stop
