candidate,family,params,profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,profit_factor,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,months
tsmom_336,tsmom,[336],base,train,0.1344360371344384,0.06500718523878635,0.3834273724217962,0.3556495634130581,-0.39337583065414916,1.0130889678546637,0.011725686893863515,-0.0033834415279374586,0.3936379388026596,-0.17222582464419522,0.4583333333333333,0.16666666666666666,24
tsmom_336,tsmom,[336],base,test,-0.21381814308834735,-0.1411650539867232,0.3634042327588398,-0.23718069257848534,-0.3798359682999475,0.9917749811790372,-0.005578831866660434,-0.05561564986972134,0.23530510979096686,-0.21644421015106796,0.42105263157894735,0.21052631578947367,19
tsmom_336,tsmom,[336],base,full,-0.10812696977815972,-0.03142788398426688,0.37472240993626443,0.10191097298011244,-0.39337583065414916,1.0036560461617008,0.004079504185725026,-0.011776462195386417,0.3936379388026596,-0.21644421015106796,0.4418604651162791,0.18604651162790697,43
tsmom_336,tsmom,[336],aggressive,train,-0.03908487144791817,-0.01971048211075277,0.7619933669997746,0.3536798035543154,-0.6659830449386925,1.0129726665167953,0.024279439989263976,-0.02270025346110105,0.9016986782276832,-0.3203916318910721,0.4583333333333333,0.2916666666666667,24
tsmom_336,tsmom,[336],aggressive,test,-0.4970722696255523,-0.35259252708901345,0.7264632942138969,-0.2356262519757402,-0.6621971669262166,0.9918300519397543,-0.00833335830712348,-0.11427145550523776,0.5058102848573358,-0.38880232291087813,0.42105263157894735,0.3684210526315789,19
tsmom_336,tsmom,[336],aggressive,full,-0.5167291353148273,-0.1836568312396477,0.746520310433564,0.10060788049844592,-0.6659830449386925,1.0036017339121628,0.009869133765278822,-0.030984618971251376,0.9016986782276832,-0.38880232291087813,0.4418604651162791,0.32558139534883723,43
donchian_336,donchian,[336],base,train,0.4478940286582087,0.20298010621156792,0.377351165497408,0.6784526326321298,-0.3492041945558352,1.0242098056771451,0.02069485893035851,0.0007251678545522333,0.28639064230835043,-0.13238108798822446,0.5,0.25,24
donchian_336,donchian,[336],base,test,-0.06270059693477914,-0.04013371986227843,0.36766437882552944,0.07226501719697168,-0.291598209980076,1.0025018639812788,0.001752341441464908,-0.03465608574441137,0.17996528643262066,-0.15232924193755382,0.42105263157894735,0.2631578947368421,19
donchian_336,donchian,[336],base,full,0.35711020876301713,0.08894642168302824,0.37310509963501215,0.41489436108725336,-0.3492041945558352,1.0146110438817821,0.012324909342242731,-0.011322485520618875,0.28639064230835043,-0.15232924193755382,0.46511627906976744,0.2558139534883721,43
donchian_336,donchian,[336],aggressive,train,0.5335009209340287,0.23798394841194392,0.7477756358282026,0.6598502166642535,-0.609314064693672,1.0234249751067344,0.03871622436922148,-0.004137965262156429,0.6221890208827097,-0.2533880445798483,0.4583333333333333,0.25,24
