candidate,family,split,cagr,sharpe,max_drawdown,avg_month,median_month,worst_month,best_month,positive_month_pct,month_ge_10_pct,months
risk_managed_momentum_126-3-5-35-200,risk_managed_momentum,train,0.3749262782485643,1.1426015113218781,-0.37556234562592594,0.031436386275294485,0.0,-0.21841177045432814,0.3519254347935694,0.49074074074074076,0.18518518518518517,108
risk_managed_momentum_126-3-5-35-200,risk_managed_momentum,test,0.5422010388075771,1.2961734202717259,-0.2545725001464503,0.04130907209414096,0.01599601343481094,-0.14245086522048078,0.28864175234874967,0.5909090909090909,0.2727272727272727,44
risk_managed_momentum_126-3-5-35-200,risk_managed_momentum,full,0.42054037569527725,1.1878689395503301,-0.37556234562592594,0.034294269012328994,0.01077375893355148,-0.21841177045432814,0.3519254347935694,0.5197368421052632,0.21052631578947367,152
lowvol_momentum_126-3-5,lowvol_momentum,train,0.1612165923855149,0.9791258054698725,-0.1690382360765892,0.013451535520669067,0.004118764121593399,-0.10572116413031629,0.18922967299209037,0.5277777777777778,0.027777777777777776,108
lowvol_momentum_126-3-5,lowvol_momentum,test,0.1782619080380059,0.9085808968879464,-0.1561371351059141,0.014765496691180942,0.005259468303845827,-0.08000245726807442,0.16106659193093065,0.5681818181818182,0.045454545454545456,44
lowvol_momentum_126-3-5,lowvol_momentum,full,0.1660368286966687,0.9522170399136751,-0.1690382360765892,0.013831892701606716,0.00479364631650947,-0.10572116413031629,0.18922967299209037,0.5394736842105263,0.03289473684210526,152
risk_managed_momentum_126-3-21-20-150,risk_managed_momentum,train,0.24213308960508995,1.1887577314645692,-0.2281041837997645,0.019852362908927255,0.0,-0.10501989068735906,0.20458596703256582,0.46296296296296297,0.1111111111111111,108
risk_managed_momentum_126-3-21-20-150,risk_managed_momentum,test,0.35602454384760684,1.4620607580990135,-0.19890803825641434,0.02695327992344161,0.016137907414364938,-0.10103491941833898,0.16669122512417256,0.6363636363636364,0.11363636363636363,44
risk_managed_momentum_126-3-21-20-150,risk_managed_momentum,full,0.2734991730752332,1.2715803787846145,-0.24799806162078064,0.02190789151839194,0.0015188917471073982,-0.10501989068735906,0.20458596703256582,0.5131578947368421,0.1118421052631579,152
risk_managed_momentum_126-3-21-35-200,risk_managed_momentum,train,0.4168365482163705,1.2349704595546003,-0.33740597857217935,0.03378253925566798,0.0,-0.16227038106008618,0.3550331440306991,0.46296296296296297,0.2037037037037037,108
risk_managed_momentum_126-3-21-35-200,risk_managed_momentum,test,0.6374149895475125,1.466175033293851,-0.3277906021927929,0.04660699990113644,0.02706710287590841,-0.17156748197784766,0.30598457680148905,0.6363636363636364,0.3409090909090909,44
risk_managed_momentum_126-3-21-35-200,risk_managed_momentum,full,0.47632855590367185,1.3049845356163512,-0.37009322503327813,0.03749488312672464,0.001323124261053854,-0.17156748197784766,0.3550331440306991,0.5131578947368421,0.24342105263157895,152
lowvol_momentum_126-3-21,lowvol_momentum,train,0.17788602461114378,1.0396687513106,-0.16633633429897832,0.014563333675299243,0.00094134362965137,-0.08533489444211417,0.17851040299844656,0.5092592592592593,0.046296296296296294,108
lowvol_momentum_126-3-21,lowvol_momentum,test,0.25717147213807645,1.2051255729730017,-0.17203755014089883,0.021057623341437584,0.02095785785293336,-0.08811989721217173,0.336228494968386,0.5681818181818182,0.06818181818181818,44
