candidate,family,params,profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months,avg_gross_exposure,annual_turnover
dual_ema_10-100,dual_ema,"[10, 100]",base,train,4.010326230299011,0.22340464665492243,0.19127065782751818,1.150528173689076,-0.24591697368216914,0.01863827606936699,0.006411636182364511,0.1687849969763935,-0.15034971834055022,0.5104166666666666,0.08333333333333333,0.03125,96,0.7063026862725664,12.93640885670029
dual_ema_10-100,dual_ema,"[10, 100]",base,test,1.5476052133798968,0.3004609640544498,0.2127983224050622,1.3412781976395907,-0.17061393348088083,0.023940306046454328,0.013562515582177914,0.14747509325392705,-0.0934079176336915,0.6046511627906976,0.13953488372093023,0.0,43,0.7423199604030911,11.710006719500722
dual_ema_10-100,dual_ema,"[10, 100]",base,full,11.764333225043858,0.2466491812321645,0.19812586535120155,1.2123719805004591,-0.24591697368216914,0.020278472393214154,0.00952775488310964,0.1687849969763935,-0.15034971834055022,0.539568345323741,0.10071942446043165,0.02158273381294964,139,0.7174011043059161,12.55850342314893
dual_ema_10-100,dual_ema,"[10, 100]",balanced,train,10.43253356154845,0.35643553618626833,0.29758148208365054,1.174714016212868,-0.35180874088721514,0.029817052367129893,0.005059239808116955,0.2543862400385286,-0.22452377538658508,0.5,0.20833333333333334,0.0625,96,1.0906165261014489,18.309355999416272
dual_ema_10-100,dual_ema,"[10, 100]",balanced,test,2.921247722955322,0.46796098538981235,0.3491022647212834,1.2745655817145112,-0.28341187620202113,0.0374929654828932,0.021981474902099007,0.26798295775845205,-0.15892678361315327,0.6046511627906976,0.3023255813953488,0.13953488372093023,43,1.232996745688504,18.20502292139841
dual_ema_10-100,dual_ema,"[10, 100]",balanced,full,43.8297961958321,0.38986668437989636,0.3143097796078616,1.2057017778686492,-0.35180874088721514,0.03219161541733005,0.014404900872517779,0.26798295775845205,-0.22452377538658508,0.5323741007194245,0.23741007194244604,0.08633093525179857,139,1.1344897851085216,18.2772066449051
dual_ema_10-100,dual_ema,"[10, 100]",aggressive,train,28.892116062377433,0.5297756538989551,0.45445243306859456,1.1658044247486772,-0.4874903788030459,0.045687924478144494,0.00574068016832241,0.42132153905441516,-0.32125029919530945,0.5,0.3333333333333333,0.125,96,1.6586084542483468,27.62766274184752
dual_ema_10-100,dual_ema,"[10, 100]",aggressive,test,5.693811131520164,0.7059322252375586,0.5373732920462291,1.2631105785860322,-0.41233211973699757,0.05768625425937872,0.021118319374350714,0.4425281215481969,-0.24050286037325297,0.6046511627906976,0.4186046511627907,0.16279069767441862,43,1.9025953118723362,27.552609588680077
dual_ema_10-100,dual_ema,"[10, 100]",aggressive,full,199.09217924303505,0.5820249371002204,0.48145380229710877,1.1957599684449127,-0.4874903788030459,0.049399638007591055,0.020683829863492376,0.4425281215481969,-0.32125029919530945,0.5323741007194245,0.3597122302158273,0.1366906474820144,139,1.7337909383736363,27.604535748240096
dual_ema_10-150,dual_ema,"[10, 150]",base,train,5.708309290140066,0.2689053927291307,0.18797012240822927,1.361830963121101,-0.2275822460336715,0.021574016874921925,0.00402221057367147,0.1674808620478465,-0.15026119066171217,0.5208333333333334,0.08333333333333333,0.010416666666666666,96,0.6806286011137874,8.376489794125979
dual_ema_10-150,dual_ema,"[10, 150]",base,test,1.709324339333989,0.3231419362104837,0.2096365850230242,1.4410044130823,-0.18756426197539977,0.02529241808758473,0.0195104023778645,0.16364931671847915,-0.0794396724809614,0.5813953488372093,0.16279069767441862,0.0,43,0.777817868224064,8.279401745497935
dual_ema_10-150,dual_ema,"[10, 150]",base,full,17.174985635556776,0.285376603713013,0.19487157846009934,1.386502861095459,-0.23019595565767847,0.022724313652939913,0.016722369473898935,0.1674808620478465,-0.15026119066171217,0.539568345323741,0.1079136690647482,0.007194244604316547,139,0.7105766507867239,8.346572934071236
dual_ema_10-150,dual_ema,"[10, 150]",balanced,train,18.849172817242753,0.45337903696119164,0.29982593079683817,1.3987601881472493,-0.36886199684222276,0.03549697458947241,0.001295843707744826,0.25442641384972076,-0.2182660810477397,0.5,0.23958333333333334,0.052083333333333336,96,1.0774316923668594,11.324594583935397
dual_ema_10-150,dual_ema,"[10, 150]",balanced,test,3.535904407648033,0.5292582293783581,0.3472811816021229,1.3975216767367957,-0.3106972370093587,0.040771179961812495,0.03317071675866323,0.2979579887503947,-0.1344743038941686,0.5813953488372093,0.3488372093023256,0.06976744186046512,43,1.2899106059214356,12.457060275369667
dual_ema_10-150,dual_ema,"[10, 150]",balanced,full,89.03395046989921,0.47635029692326425,0.31515659731394025,1.3951985181974962,-0.36886199684222276,0.037128563301779056,0.023713504897913795,0.2979579887503947,-0.2182660810477397,0.5251798561151079,0.2733812949640288,0.05755395683453238,139,1.1429052703326632,11.673554297166774
dual_ema_10-150,dual_ema,"[10, 150]",aggressive,train,70.20615108012284,0.7052758589378603,0.45956743094697494,1.3948719442630966,-0.5236698282757591,0.05465544368952721,0.0,0.42132153905441405,-0.3126733805243538,0.4895833333333333,0.3229166666666667,0.10416666666666667,96,1.6453496562396832,16.95886964314328
dual_ema_10-150,dual_ema,"[10, 150]",aggressive,test,7.4813996985841555,0.8232254584665211,0.5368863403339255,1.3882325503163246,-0.45216205422296196,0.06300372709669116,0.05059136467853409,0.484309781419914,-0.20191216567638803,0.5813953488372093,0.4186046511627907,0.20930232558139536,43,1.9957525554126536,18.720292894409223
dual_ema_10-150,dual_ema,"[10, 150]",aggressive,full,602.9278283082917,0.7407838161293547,0.4846248130084754,1.3890588221452758,-0.5236698282757591,0.057238006182390874,0.03181650513970191,0.484309781419914,-0.3126733805243538,0.5179856115107914,0.35251798561151076,0.1366906474820144,139,1.7533233424499732,17.50163730249936
dual_ema_10-200,dual_ema,"[10, 200]",base,train,5.802158067191831,0.27111310807096034,0.18969487557280937,1.3602802374661083,-0.2882988843968546,0.021791278572342043,0.01027326789348415,0.1810377175295006,-0.19178449549342202,0.5416666666666666,0.08333333333333333,0.010416666666666666,96,0.6805044370236236,7.344069114170378
dual_ema_10-200,dual_ema,"[10, 200]",base,test,1.9030578366592175,0.3490655001598435,0.20944038490483843,1.5349184389095858,-0.18178500820993015,0.026970084935128265,0.019825486319681396,0.17622241994709986,-0.08127942239290331,0.5813953488372093,0.11627906976744186,0.0,43,0.7884387067755527,7.14742941868306
dual_ema_10-200,dual_ema,"[10, 200]",base,full,18.747058283155926,0.29464082572488537,0.19596381061283022,1.416513431411767,-0.2882988843968546,0.02339335536082987,0.015545380276171583,0.1810377175295006,-0.19178449549342202,0.5539568345323741,0.09352517985611511,0.007194244604316547,139,0.7137634682731875,7.283476257127395
dual_ema_10-200,dual_ema,"[10, 200]",balanced,train,18.57334644927638,0.45083649399518233,0.306716903987883,1.3683586118180113,-0.4220317794183739,0.03566146983225083,0.01056184636086388,0.28032374532626214,-0.29002151084388383,0.5416666666666666,0.22916666666666666,0.03125,96,1.0909646341287575,10.041127871263933
dual_ema_10-200,dual_ema,"[10, 200]",balanced,test,3.989565678422464,0.5707652053486278,0.34805817458545973,1.4723892527752753,-0.3013892955786981,0.043143158993400904,0.03244190834841909,0.2916556950364655,-0.13769033571688516,0.5813953488372093,0.32558139534883723,0.046511627906976744,43,1.3087575249543313,10.545996414114512
dual_ema_10-200,dual_ema,"[10, 200]",balanced,full,96.66249765518168,0.48678145646735116,0.3199764600337501,1.4010017950029112,-0.4220317794183739,0.03797594921303826,0.020111356804537683,0.2916556950364655,-0.29002151084388383,0.5539568345323741,0.2589928057553957,0.03597122302158273,139,1.158075669192495,10.196698837576875
dual_ema_10-200,dual_ema,"[10, 200]",aggressive,train,69.32020006581365,0.7026065204050735,0.4714440800218047,1.3679730123025169,-0.5751572436591488,0.0553420220401706,0.013359954676876007,0.44387727111154485,-0.4146775407661073,0.5208333333333334,0.3333333333333333,0.11458333333333333,96,1.6716155881573325,15.012342818727662
dual_ema_10-200,dual_ema,"[10, 200]",aggressive,test,8.675216911596985,0.8919429029150612,0.5381960044589931,1.4554019629477846,-0.4376377628899035,0.06634057894683307,0.046149924546474486,0.45885649976577314,-0.20896705941587446,0.5813953488372093,0.4186046511627907,0.18604651162790697,43,2.02378763379787,15.779353453603681
dual_ema_10-200,dual_ema,"[10, 200]",aggressive,full,679.3631889036446,0.7588355837421352,0.4929002432323404,1.3949271565680386,-0.5751572436591488,0.05874445331345467,0.030469758101943523,0.45885649976577314,-0.4146775407661073,0.539568345323741,0.3597122302158273,0.1366906474820144,139,1.7801344218706827,15.248690650910346
dual_ema_20-100,dual_ema,"[20, 100]",base,train,4.0785637442131515,0.2254771499348871,0.1900737242909284,1.1655019680411578,-0.24907384186685555,0.018745594623890628,0.005157897650256871,0.15648578596730434,-0.16070548032051024,0.5208333333333334,0.08333333333333333,0.020833333333333332,96,0.6992523379455905,12.27162219032632
